,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
2832,8.6,28.6170826,77.225821,Andhra Pradesh Bhavan Canteen,1,"1, Ashoka Road, New Delhi","1, Ashoka Rd, Hyderabad House, New Delhi, Delhi 110001, India",0,0,26.015880821973383,27.560195775146045
2833,8.8,28.6087395,77.2301779,Chor Bizarre,1,"Chor Bizarre, Bikaner House, Pandara Road, India Gate, New Delhi","Chor Bizarre, Bikaner House, Pandara Road, India Gate, Pandara Flats, India Gate, New Delhi, Delhi 110011, India",0,0,26.93629144811623,27.11852755081506
2834,8.4,28.607879,77.2298639999999,Veg Gulati,1,"Shop No. 8, Near India Gate, Pandara Road, Market, New Delhi","Shop No. 8, Near India Gate, Pandara Rd, Pandara Flats, Market, New Delhi, Delhi 110003, India",0,0,26.973849952659926,27.025419910685432
2835,8.8,28.6078477,77.2298687,Gulati Restaurant,1,6 Pandara Road Near Bikaner House Pandara Market,"6 Pandara Road Near Bikaner House Pandara Market, Pandara Flats, India Gate, New Delhi, Delhi 110003, India",0,0,26.976427744717686,27.02303736643352
2836,8.2,28.6078252999999,77.2299898,Pindi Restaurant Delhi,0,"16, Pandara Road, Market, New Delhi","16, Pandara Rd, Pandara Flats, Market, New Delhi, Delhi 110003, India",0,0,26.987123120305704,27.028667560733272
2837,8.6,28.6078383,77.2299139,Ichiban,1,"9, Pandara Road, Market, New Delhi","9, Pandara Rd, Pandara Flats, Market, New Delhi, Delhi 110003, India",0,0,26.980493605779245,27.02504997490576
2838,8.8,28.6016855,77.2286246,Larry`s China Restaurant,1,"Vivanta Ambassador, Subramaniam Bharti Marg, Sujan Singh Park, New Delhi","Vivanta Ambassador, Subramaniam Bharti Marg, Sujan Sing Park North, Sujan Singh Park, New Delhi, Delhi 110003, India",0,0,27.32086432369701,26.41879919722992
2839,8.0,28.6258094,77.2259356999999,Bijoli Grill,1,"No 3, Hailey Road, Banga Bhawan, Hamdard Nagar, Vakil Lane, Mandi House, Connaught Place","No 3, Hailey Road, Banga Bhawan, Hamdard Nagar, Vakil Lane, Mandi House, Connaught Place, Delhi 110001, India",0,0,25.40441002190247,28.313212229886883
2840,8.4,28.6016855,77.2286246,Vivanta Ambassador Restaurants,1,"Vivanta Ambassador Sujan Singh Park, Subramaniam Bharti Marg, New Delhi","Vivanta Ambassador Sujan Singh Park, Subramaniam Bharti Marg, Sujan Sing Park North, Sujan Singh Park, New Delhi, Delhi 110003, India",0,0,27.32086432369701,26.41879919722992
2841,8.6,28.6016855,77.2286246,Yellow Brick Road,1,"Vivanta Ambassador, Subramaniam Bharti Marg, Sujan Singh Park, New Delhi","Vivanta Ambassador, Subramaniam Bharti Marg, Sujan Sing Park North, Sujan Singh Park, New Delhi, Delhi 110003, India",1,0,27.32086432369701,26.41879919722992
2842,8.6,28.6016855,77.2286246,Insomnia,1,"Vivanta Ambassador, Subramaniam Bharti Marg, Sujan Singh Park, New Delhi","Vivanta Ambassador, Subramaniam Bharti Marg, Sujan Sing Park North, Sujan Singh Park, New Delhi, Delhi 110003, India",1,0,27.32086432369701,26.41879919722992
2843,8.4,28.6078093,77.2297892999999,Have More,0,"Pandara Market, 11-12, Barda Ukil Marg, New Delhi","Pandara Market, 11-12, Barda Ukil Marg, Pandara Flats, India Gate, New Delhi, Delhi 110003, India",0,0,26.97318810761406,27.014808308105398
2844,7.2,28.6093391,77.2276921999999,Shri Prabhu Chaat Bhandar,0,"UPSC, Man Singh Road Area, New Delhi","UPSC, Man Singh Road Area, New Delhi, Delhi 110069, India",1,0,26.706823198969843,27.014913677373357
2845,8.8,28.6187734,77.2182986999999,"Nero Le Meridien, Delhi, CP",1,"Le Meridien, Windsor Place, Connaught Place, New Delhi","Le Meridien, Windsor Place, Connaught Place, Windsor Place, New Delhi, Delhi 110001, India",2,0,25.330292339021206,27.236077147647848
2846,7.0,28.6222564,77.2256113999999,S Kumar Maggi Point,0,"Koisk no 6 Curzon road, New Delhi","Koisk no 6 Curzon road, 1688 Barracks, New Delhi, Delhi 110001, India",1,0,25.632487299698095,27.98934203784346
